
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-02-24 14:47:08 /en .............................................. ~ 1s
  2026-02-24 14:47:51 /en ........................................ ~ 500.51ms
  2026-02-24 14:49:04 /en .......................................... ~ 0.11ms
  2026-02-24 14:49:04 /build/assets/app-BfBHyD7K.css ............... ~ 0.07ms
  2026-02-24 14:49:04 /build/assets/app-CDxIJJGT.js ................ ~ 0.21ms
  2026-02-24 14:49:04 /img/avatar.webp ............................. ~ 0.41ms
  2026-02-24 14:49:04 /img/logo.webp ............................... ~ 0.65ms
  2026-02-24 14:50:59 /en .......................................... ~ 0.19ms
  2026-02-24 14:50:59 /storage/img/avatar.jpg ...................... ~ 0.07ms
  2026-02-24 14:50:59 /build/assets/app-BfBHyD7K.css ............... ~ 0.58ms
  2026-02-24 14:50:59 /build/assets/app-CDxIJJGT.js ................ ~ 1.21ms
  2026-02-24 14:50:59 /img/avatar.webp ............................. ~ 1.92ms
  2026-02-24 14:50:59 /img/logo.webp ............................... ~ 2.97ms
  2026-02-24 14:50:59 /storage/img/avatar.jpg .................... ~ 500.44ms
